pH,TDS,Turbidity,Temperature,pH_score,TDS_score,Turbidity_score,Temp_score,WQI,Category,Recommended_Use,Safety_Advice,Risk_Level
6.60,50.0,0.20,15.0,68.0,100.0,100.0,100.0,93.6,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
6.67,72.9,0.40,15.7,74.0,100.0,100.0,100.0,94.8,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
6.75,95.8,0.60,16.4,80.0,100.0,100.0,100.0,96.0,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
6.82,118.8,0.80,17.1,86.0,100.0,100.0,100.0,97.2,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
6.90,141.7,1.00,17.8,92.0,100.0,100.0,100.0,98.4,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
6.97,164.6,1.20,18.5,98.0,100.0,99.0,100.0,99.2,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.05,187.5,1.40,19.2,100.0,100.0,98.0,100.0,99.2,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.12,210.4,1.60,20.0,100.0,100.0,97.0,100.0,98.8,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.20,233.3,1.80,20.7,100.0,100.0,96.0,100.0,98.4,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.28,256.2,2.00,21.4,100.0,100.0,95.0,100.0,98.0,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.35,279.2,2.20,22.1,100.0,100.0,94.0,100.0,97.6,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
